topics proteins scores signal totalSignal fraction
103 Nrm1 10.6283109741538 5448 12849 0.424001867849638
103 Mbp1 9.97622316468683 2505 5642 0.443991492378589
103 Spt20 5.28854650713065 840 3640 0.230769230769231
104 Yng1 13.0109150177629 1161 1678 0.691895113230036
105 Fzf1 10.1844674859828 1607 5026 0.319737365698368
105 Scc4 12.6848961823922 1132 2377 0.476230542700883
105 Tda9 2.106953857081 446 7565 0.058955717118308
106 Hap5 4.82677519288418 1199 4508 0.265971606033718
106 Fkh2 4.4463770281148 1190 7594 0.156702659994733
106 Eaf5 5.43934820743983 1100 6736 0.163301662707838
106 Ies6 7.86854601432766 501 2292 0.218586387434555
106 Hhf1 13.1061957953633 494 572 0.863636363636364
106 Hta2 12.9756732801304 478 581 0.822719449225473
106 Dig1 1.00924962593493 416 7170 0.0580195258019526
106 Hhf2 13.0448544970901 407 506 0.804347826086957
106 Htb2 13.1428578798645 400 425 0.941176470588235
107 Vid27 13.1386397421952 3594 3770 0.953315649867374
108 Spt5 13.153131785599 159536 160158 0.99611633511907
108 Spt6 13.1531486843124 141076 141606 0.996257220739234
109 Mif2 8.14613256499086 132899 300203 0.442697108290057
109 Nkp2 12.0595271406522 122790 176278 0.696570190267645
109 Nkp1 13.1531489013401 48650 48775 0.997437211686315
109 Mcm16 13.1531509128216 45310 45385 0.998347471631596
109 Cln1 12.2018633997426 2491 3930 0.633842239185751
109 Fun30 2.43275699314888 818 6874 0.118999127145767
109 Scc2 2.97523850240701 760 4863 0.156282130372198
109 Fzf1 2.66039755627707 441 5026 0.0877437325905292
109 Brn1 1.96102572463846 411 3706 0.110901241230437
110 Stp2 1.47147687391015 1005 14635 0.0686709941920055
110 Cln1 4.64410555720709 962 3930 0.244783715012723
110 Gts1 2.46242217470228 722 6033 0.119675120172385
110 Esc2 2.59665456727003 706 6196 0.113944480309877
110 Fzf1 4.16392096418568 674 5026 0.134102666136092
110 Ycs4 3.31180375236167 617 4431 0.13924621981494
110 Fun30 1.53927987680337 532 6874 0.0773930753564155
110 Ham1 11.8297641765712 495 1352 0.36612426035503
110 Hda1 1.98744514826554 485 4821 0.100601534951255
110 Smc4 2.53675979241415 410 3680 0.111413043478261
112 CTDSer7 13.1520865262345 116835 120571 0.969014107870052
112 Ccl1 13.1528308965227 101926 102711 0.992357196405448
112 Toa1 12.7473502160555 64929 90553 0.717027597097832
112 Tfb1 9.7828118932502 54576 117279 0.465351853272964
112 Kin28 4.72653572491588 48606 209785 0.231694353743118
112 Taf2 1.70221466750791 8094 70675 0.11452423063318
112 Taf14 8.44774410823928 1660 4423 0.375310874971739
